baseline,model,b_base_correct_other_wrong,c_base_wrong_other_correct,n_discordant,chi2_cc,p_exact
svm,naivebayes,95,13,108,60.75,1.4649140049273037e-16
svm,adaboost,51,16,67,17.253731343283583,2.168923876071706e-05
svm,knn,38,11,49,13.795918367346939,0.00014197068519905542
svm,gradientboosting,28,15,43,3.3488372093023258,0.0659940344557981
svm,catboost,24,15,39,1.641025641025641,0.19959086691960698
svm,extratrees,18,12,30,0.8333333333333334,0.36159460805356514
svm,xgboost,19,14,33,0.48484848484848486,0.48685024166479707
svm,logreg,4,7,11,0.36363636363636365,0.548828125
svm,rf,17,14,31,0.12903225806451613,0.720100131817162
svm,lightgbm,16,18,34,0.029411764705882353,0.8641662404406816
