feature,importance
PC3,0.027018602405070688
PC4,0.014565093728154586
PC22,0.013229035100504506
PC12,0.0064991989641070185
PC10,0.0064726177731256615
PC31,0.006020792207997142
PC34,0.005650371599257576
PC2,0.005597044614947236
PC1,0.005568159882747153
PC23,0.005165619321696801
PC15,0.005043937093565248
PC37,0.005004795452026088
PC26,0.004854549424544148
PC14,0.004807412808087344
PC42,0.0047502663850956025
PC30,0.0046645605387991935
PC5,0.004579285756621505
PC24,0.004565170284357579
PC6,0.0045596998289228075
PC27,0.004543451612257628
PC25,0.004424854735801304
PC21,0.004419552610861857
PC13,0.004360237856256538
PC11,0.004324873091960278
PC28,0.004320873412592733
PC48,0.004218559110078471
PC41,0.004102299095274834
PC43,0.003982715335058799
PC29,0.003955641040627848
PC20,0.003870917562325285
PC64,0.0038593106608884853
PC32,0.003844376473585173
PC16,0.0038171353197328367
PC9,0.003785289202437874
PC7,0.003619934669281337
PC53,0.00357740213835795
PC35,0.0034587267423997177
PC8,0.00342257579276178
PC39,0.00338948610071386
PC38,0.0033789975880009386
PC46,0.003361312574344705
PC19,0.0033018455361496567
PC45,0.0032743380203756355
PC33,0.0032401522715583635
PC50,0.0031650024828973325
PC36,0.003157711183033653
PC58,0.003112313300921431
PC52,0.0030438975062426887
PC40,0.003003352240188923
PC61,0.002948070413555892
PC55,0.0029268225376824514
PC44,0.0029080085367608264
PC69,0.0028530217272804753
PC72,0.0028075316751956705
PC60,0.0028058233050092724
PC47,0.0027929417138647843
PC63,0.002771492963793002
PC81,0.00276633785067155
PC56,0.0027618214998092654
PC70,0.002746595832713986
