real,pred,count
llave_regulable,llave_chica_mixta,3
llave_regulable,cutter,3
destornillador_chico_plano,llave_chica_mixta,2
calibrador,destornillador_chico_plano,2
alicate_corte,pelacables,2
destornillador_chico_plano,wincha,2
pelacables,alicate_corte,2
pelacables,destornillador_chico_plano,2
pelacables,cutter,2
alicate_corte,llave_regulable,1
alicate_corte,destornillador_chico_plano,1
alicate_corte,cutter,1
alicate_corte,calibrador,1
cutter,llave_regulable,1
cutter,calibrador,1
cutter,alicate_corte,1
calibrador,llave_regulable,1
calibrador,cutter,1
alicate_corte,wincha,1
alicate_corte,llave_chica_mixta,1
