bin,conf_low,conf_high,count,avg_confidence,accuracy,gap,weight
0,0.0,0.06666666666666667,0,0.0,0.0,0.0,0.0
1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0,0.0
2,0.13333333333333333,0.2,0,0.0,0.0,0.0,0.0
3,0.2,0.26666666666666666,0,0.0,0.0,0.0,0.0
4,0.26666666666666666,0.3333333333333333,0,0.0,0.0,0.0,0.0
5,0.3333333333333333,0.4,1,0.34133167575633344,0.0,0.34133167575633344,0.003968253968253968
6,0.4,0.4666666666666667,1,0.46023221229402855,0.0,0.46023221229402855,0.003968253968253968
7,0.4666666666666667,0.5333333333333333,4,0.5006507602604638,0.0,0.5006507602604638,0.015873015873015872
8,0.5333333333333333,0.6,2,0.5707056830544943,0.5,0.07070568305449432,0.007936507936507936
9,0.6,0.6666666666666666,6,0.6232908118657869,0.16666666666666666,0.4566241451991203,0.023809523809523808
10,0.6666666666666666,0.7333333333333333,5,0.6939440013270053,0.4,0.29394400132700527,0.01984126984126984
11,0.7333333333333333,0.8,9,0.7580539096047725,0.3333333333333333,0.42472057627143917,0.03571428571428571
12,0.8,0.8666666666666667,5,0.8235621366110332,0.6,0.2235621366110332,0.01984126984126984
13,0.8666666666666667,0.9333333333333333,20,0.9097071807445504,0.35,0.5597071807445504,0.07936507936507936
14,0.9333333333333333,1.0,199,0.9945910570962813,0.5577889447236181,0.4368021123726632,0.7896825396825397
