split,class_name,count
test,alicate_corte,31
test,calibrador,32
test,cutter,30
test,destornillador_chico_plano,31
test,llave_chica_mixta,37
test,llave_regulable,31
test,pelacables,30
test,wincha,30
train,alicate_corte,145
train,calibrador,151
train,cutter,141
train,destornillador_chico_plano,146
train,llave_chica_mixta,169
train,llave_regulable,141
train,pelacables,141
train,wincha,141
val,alicate_corte,31
val,calibrador,32
val,cutter,30
val,destornillador_chico_plano,31
val,llave_chica_mixta,36
val,llave_regulable,31
val,pelacables,31
val,wincha,31
